student_id,n_videos,n_navigate,n_access,n_problem,n_page_close,n_discussion,n_wiki,n_events,n_events_lst_wk,n_access_lst_wk,n_access_lst2_wk,days_course_strt_access1,days_course_end_access_lst,unique_days_accessed,dropout
1,29,25,107,87,66,0,0,314,111,34,87,2,0,14,0
3,9,14,79,148,22,26,0,298,95,28,43,0,1,9,0
4,4,15,64,6,10,0,0,99,0,0,14,3,9,9,0
5,86,30,226,189,87,34,0,652,197,63,83,2,0,11,0
6,2,5,12,2,2,0,0,23,23,12,12,27,1,2,0
7,69,20,203,102,60,33,0,487,23,11,50,0,3,10,1
12,31,6,46,0,43,1,0,127,47,17,42,14,0,10,0
13,69,15,200,150,25,4,0,463,371,164,182,3,3,8,0
14,5,20,60,12,5,0,0,102,23,13,35,10,3,8,1
16,15,40,168,64,20,28,1,336,84,52,122,4,3,11,0
18,10,14,90,17,18,3,1,153,42,24,74,3,1,11,0
20,12,35,59,0,34,1,1,142,33,12,16,2,3,11,0
22,36,1,66,64,38,0,0,205,0,0,0,12,16,2,1
23,14,18,53,0,28,0,0,113,5,2,18,9,1,7,0
26,31,21,146,5,61,1,0,265,40,25,146,19,2,6,0
30,0,1,4,2,3,0,0,10,0,0,4,18,11,2,0
31,21,16,121,19,57,6,0,240,0,0,70,2,9,9,1
35,6,46,82,38,44,13,1,230,41,16,45,8,0,12,0
39,33,21,90,13,75,3,2,237,0,0,23,10,9,8,1
45,104,39,326,176,115,45,0,805,236,90,255,6,0,16,0
49,45,160,337,82,171,1324,0,2119,329,70,116,0,0,29,0
51,229,71,520,6,237,175,0,1238,329,143,277,0,0,26,0
55,29,48,93,20,62,23,5,280,50,20,77,9,0,9,0
58,34,48,239,157,85,40,2,605,19,11,67,1,6,16,0
60,0,26,67,40,4,12,3,152,95,42,47,1,0,8,0
65,20,9,32,2,26,0,1,90,0,0,20,2,8,7,1
67,20,37,98,8,58,22,2,245,33,18,49,5,1,10,1
68,1,16,73,19,9,3,1,122,25,14,17,1,1,6,0
69,7,4,44,4,8,0,0,67,13,9,44,15,0,8,0
71,37,32,203,59,100,18,0,449,244,108,139,2,3,10,0
73,0,17,61,29,39,0,0,146,96,38,50,12,2,8,1
75,33,69,160,72,72,4,1,411,154,57,91,4,2,17,0
76,6,7,63,26,13,0,0,115,35,21,63,16,5,6,0
78,27,44,92,17,71,3,5,259,118,44,83,10,0,8,0
80,2,5,22,8,1,0,0,38,38,22,22,25,1,2,0
81,29,21,109,40,74,4,0,277,133,53,77,1,1,9,0
82,27,25,68,18,53,33,5,229,45,16,29,8,1,8,0
83,5,15,24,2,8,0,0,54,8,3,24,18,2,6,0
87,2,42,99,30,3,76,5,257,116,35,99,19,1,5,0
88,19,34,134,33,66,34,5,325,57,21,77,2,4,11,0
90,34,27,138,30,80,6,0,315,62,24,82,1,2,14,0
92,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
94,7,29,52,8,42,7,2,147,14,6,39,11,2,14,0
95,1,18,37,23,1,2,1,83,0,0,11,1,9,5,0
96,28,10,80,44,38,1,0,201,35,15,20,0,2,8,1
101,3,22,94,62,5,34,0,220,35,19,50,1,1,8,1
102,0,1,0,0,0,0,0,1,0,0,0,NA,NA,1,1
104,55,58,129,30,91,4,5,372,125,46,111,4,0,11,0
